ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
12020823,01/01/2020 06:00:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1135,11.0,28.0,41.872875887,-87.696686934
12016436,01/01/2020 07:00:00 AM,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,935,9.0,20.0,41.795246799,-87.64358399
12134619,01/01/2020 09:00:00 AM,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,633,6.0,8.0,41.731158507,-87.606088094
12025796,01/01/2020 10:35:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,1724,17.0,33.0,41.95450415,-87.71292984
12016034,01/01/2020 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1434,14.0,32.0,41.915306069,-87.686639247
12019692,01/01/2020 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1922,19.0,47.0,41.940221932,-87.669039008
12220321,01/01/2020 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,413,4.0,8.0,41.728192429,-87.600985433
12013828,01/01/2020 12:00:00 AM,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,False,814,8.0,22.0,41.81227369,-87.748176594
12843813,01/01/2020 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,331,3.0,5.0,,
12843381,01/01/2020 12:01:00 AM,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,False,False,1614,16.0,41.0,,
12022979,01/01/2020 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,123,1.0,4.0,41.871811902,-87.627340674
12021829,01/01/2020 12:01:00 AM,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,2234,22.0,34.0,41.68720452,-87.654382593
12028847,01/02/2020 02:00:00 PM,THEFT,$500 AND UNDER,STREET,False,False,1925,19.0,44.0,41.942760166,-87.645705153
12014538,01/02/2020 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,723,7.0,6.0,41.773360201,-87.64069877
12139769,01/02/2020 12:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,413,4.0,7.0,41.725516047,-87.572995503
12028291,01/02/2020 12:07:00 PM,THEFT,OVER $500,RESIDENCE,False,False,1522,15.0,28.0,41.882363356,-87.755443834
11940213,01/03/2020 01:39:00 AM,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,STREET,True,False,612,6.0,17.0,41.752387319,-87.649243386
12018740,01/03/2020 03:40:00 PM,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,2233,22.0,34.0,41.702241493,-87.640261415
12022453,01/03/2020 05:42:00 PM,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,421,4.0,7.0,41.752958445,-87.563828494
12015175,01/03/2020 09:00:00 AM,THEFT,OVER $500,OTHER (SPECIFY),False,False,122,1.0,42.0,41.885729153,-87.634264204
12025802,01/03/2020 10:23:00 PM,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,1223,12.0,27.0,41.879445433,-87.681489191
12026090,01/03/2020 12:00:00 AM,THEFT,FROM BUILDING,RESIDENCE,False,False,334,3.0,7.0,41.762161498,-87.562813204
12027272,01/05/2020 12:00:00 AM,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,1824,18.0,27.0,41.903125898,-87.632182661
12024324,01/06/2020 09:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,1914,19.0,46.0,41.96786629,-87.65761386
12021153,01/06/2020 12:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,211,2.0,4.0,41.837921113,-87.61947121
12021929,01/06/2020 12:35:00 PM,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,1422,14.0,26.0,41.908242004,-87.710391255
12026774,01/07/2020 09:00:00 AM,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,932,9.0,16.0,41.800863342,-87.664766276
12023821,01/09/2020 09:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1634,16.0,45.0,41.952458882,-87.74831884
12022289,01/10/2020 11:00:00 AM,DECEPTIVE PRACTICE,FORGERY,BANK,False,False,1414,14.0,1.0,41.924488265,-87.699933231
11949447,01/11/2020 08:15:00 PM,ROBBERY,ARMED - HANDGUN,CONVENIENCE STORE,False,False,1722,17.0,39.0,41.967477901,-87.739224006
12017743,01/11/2020 12:00:00 AM,THEFT,FROM BUILDING,RESIDENCE,False,True,511,5.0,8.0,41.715951035,-87.599421254
12021319,01/12/2020 01:03:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,2232,22.0,9.0,41.713513434,-87.638155212
12028798,01/12/2020 01:45:00 PM,ASSAULT,SIMPLE,APARTMENT,False,True,321,3.0,5.0,41.774507187,-87.602148844
11950605,01/13/2020 04:10:00 PM,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,331,3.0,5.0,41.771663366,-87.573697166
12021932,01/13/2020 12:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,2433,24.0,48.0,,
12022408,01/14/2020 05:00:00 PM,THEFT,FROM BUILDING,RESIDENCE,False,False,412,4.0,8.0,41.737537504,-87.587864919
12021935,01/14/2020 05:35:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,1621,16.0,39.0,41.996015257,-87.753254294
12019697,01/14/2020 11:46:00 AM,ASSAULT,SIMPLE,STREET,False,False,422,4.0,7.0,41.751257242,-87.555309999
12023203,01/14/2020 12:00:00 PM,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),False,False,1923,19.0,46.0,41.951154285,-87.652540835
12023843,01/15/2020 08:00:00 AM,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,STREET,False,False,2222,22.0,21.0,41.729907636,-87.649529567
12018457,01/16/2020 12:00:00 AM,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,312,3.0,20.0,41.779392287,-87.609558007
12004464,01/17/2020 03:00:00 PM,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,123,1.0,25.0,41.871799513,-87.632936347
11956237,01/19/2020 05:48:00 PM,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER NEW ADDRESS,APARTMENT,False,False,313,3.0,20.0,41.783128481,-87.608445358
12016706,01/20/2020 08:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1412,14.0,35.0,41.932826416,-87.708667345
11972362,01/20/2020 10:30:00 AM,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,GOVERNMENT BUILDING / PROPERTY,True,False,1654,16.0,41.0,41.953900467,-87.907472601
12019230,01/21/2020 03:00:00 PM,THEFT,OVER $500,RESIDENCE,False,False,1511,15.0,29.0,41.891942001,-87.768932082
12030460,01/22/2020 02:50:00 PM,NARCOTICS,FORFEIT PROPERTY,AIRPORT/AIRCRAFT,True,False,1651,16.0,41.0,41.976290414,-87.905227221
12015249,01/22/2020 06:30:00 PM,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,False,False,1724,17.0,33.0,41.963620834,-87.711992043
12024427,01/22/2020 12:00:00 AM,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,False,2432,24.0,49.0,42.00535975,-87.671665802
12013914,01/22/2020 12:00:00 PM,THEFT,FROM BUILDING,APARTMENT,False,True,1915,19.0,46.0,41.960360168,-87.650534646
12246450,01/22/2020 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,431,4.0,7.0,41.718115839,-87.575254806
12022500,01/22/2020 12:15:00 PM,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,False,False,622,6.0,21.0,41.740649137,-87.637686734
11959688,01/23/2020 06:52:00 AM,ROBBERY,STRONG ARM - NO WEAPON,STREET,False,False,1133,11.0,28.0,41.874441638,-87.720681099
12021637,01/23/2020 09:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,False,False,632,6.0,8.0,41.74348344,-87.601372333
12016589,01/24/2020 10:00:00 AM,THEFT,$500 AND UNDER,RESIDENCE,False,False,722,7.0,6.0,41.771575307,-87.638698066
12020963,01/24/2020 12:01:00 AM,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES,RESIDENCE,False,False,624,6.0,6.0,41.750508015,-87.606426766
11966611,01/25/2020 02:31:00 PM,THEFT,$500 AND UNDER,OTHER (SPECIFY),False,False,814,8.0,14.0,41.795807807,-87.76177065
12025077,01/25/2020 03:00:00 PM,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,913,9.0,11.0,41.83729763,-87.658420358
11966549,01/26/2020 04:47:00 AM,THEFT,OVER $500,OTHER (SPECIFY),False,False,814,8.0,14.0,41.795807807,-87.76177065
12025599,01/26/2020 11:15:00 AM,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER (SPECIFY),False,False,225,2.0,3.0,41.80171934,-87.630703621
12017996,01/27/2020 10:00:00 PM,THEFT,$500 AND UNDER,STREET,False,False,1533,15.0,28.0,41.878517855,-87.751479667
12024103,01/28/2020 05:30:00 PM,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,1814,18.0,43.0,41.91656115,-87.63570612
11978688,01/30/2020 12:00:00 AM,BATTERY,SIMPLE,OTHER (SPECIFY),False,False,1024,10.0,22.0,41.851169441,-87.711323375
