ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
12449065,01/01/2021 12:00:00 AM,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,False,True,432,4.0,10.0,41.712932999,-87.53648903
12345411,01/01/2021 12:00:00 AM,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,912,9.0,11.0,41.827681913,-87.665496311
12346533,01/05/2021 12:00:00 AM,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,APARTMENT,False,False,423,4.0,7.0,41.729447637,-87.563365458
12265790,01/09/2021 03:59:00 PM,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,True,True,2032,20.0,40.0,41.973401006,-87.672165851
12346662,01/12/2021 10:15:00 AM,THEFT,OVER $500,DEPARTMENT STORE,False,False,1034,10.0,28.0,41.851988885,-87.689219118
12335121,01/14/2021 03:52:00 PM,NARCOTICS,POSSESS - HALLUCINOGENS,APARTMENT,True,False,1024,10.0,24.0,41.852394125,-87.715018724
12346508,01/14/2021 09:00:00 AM,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,133,1.0,4.0,41.83981113,-87.617141911
12345875,01/16/2021 04:10:00 PM,THEFT,OVER $500,RESTAURANT,False,False,631,6.0,8.0,41.74489273,-87.60505734
12346507,01/19/2021 12:45:00 PM,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,APARTMENT,False,False,832,8.0,17.0,41.766062984,-87.681963712
12335135,01/20/2021 10:10:00 AM,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),VACANT LOT / LAND,True,False,1115,11.0,28.0,41.878856533,-87.726771211
12345675,01/23/2021 02:00:00 PM,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,RESIDENCE,False,False,523,5.0,34.0,41.658427695,-87.639278579
12300929,01/26/2021 09:39:00 AM,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),STREET,True,False,1121,11.0,27.0,41.89626756,-87.712678392
12304925,01/27/2021 01:21:00 PM,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,True,False,1121,11.0,27.0,41.89445275,-87.715061321
12345556,01/27/2021 09:00:00 AM,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,False,False,835,8.0,18.0,41.739376653,-87.688652901
12300927,01/27/2021 12:22:00 PM,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),STREET,True,False,1132,11.0,28.0,41.875286501,-87.724223679
12304978,01/28/2021 10:41:00 AM,NARCOTICS,MANUFACTURE / DELIVER - CRACK,SIDEWALK,True,False,1112,11.0,27.0,41.894273079,-87.719937001
12345622,01/29/2021 01:00:00 AM,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,False,2535,25.0,26.0,41.910711276,-87.725136118
12335856,01/29/2021 10:51:00 AM,NARCOTICS,MANUFACTURE / DELIVER - CRACK,SIDEWALK,True,False,1124,11.0,28.0,41.880449353,-87.702035474
12534508,02/01/2021 08:00:00 AM,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,APARTMENT,False,True,822,8.0,13.0,41.78959552,-87.721948015
12345876,02/16/2021 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,2534,25.0,37.0,41.903533462,-87.72950584
12321286,02/17/2021 10:05:00 AM,NARCOTICS,FOUND SUSPECT NARCOTICS,POLICE FACILITY / VEHICLE PARKING LOT,True,False,1134,11.0,24.0,41.868180939,-87.709271389
12346704,02/20/2021 01:10:00 PM,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,112,1.0,42.0,,
12345621,02/21/2021 04:00:00 PM,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,413,4.0,8.0,41.726827059,-87.597322944
12345201,02/21/2021 09:00:00 AM,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,222,2.0,4.0,41.803466906,-87.603763561
12346316,02/25/2021 09:00:00 AM,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER (SPECIFY),False,False,1654,16.0,41.0,41.981313322,-87.882548649
12346232,02/26/2021 10:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1132,11.0,24.0,41.87296769,-87.731526651
12345376,02/27/2021 10:00:00 AM,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,False,False,1832,18.0,2.0,41.897275609,-87.6282173
12346592,02/28/2021 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,2223,22.0,21.0,41.733591353,-87.642331566
12346323,03/01/2021 02:00:00 AM,THEFT,OVER $500,APARTMENT,False,False,2032,20.0,47.0,41.969618684,-87.679210087
12345999,03/01/2021 12:00:00 AM,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,False,True,1132,11.0,24.0,41.866742491,-87.727638357
12601916,03/01/2021 12:00:00 AM,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,True,True,2535,25.0,26.0,,
12345478,03/02/2021 09:00:00 AM,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,2512,25.0,36.0,41.920545917,-87.783216081
12345838,03/03/2021 06:20:00 PM,THEFT,$500 AND UNDER,STREET,False,False,1821,18.0,2.0,41.904265132,-87.634495504
12346357,03/04/2021 12:00:00 AM,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,NURSING / RETIREMENT HOME,False,False,1914,19.0,46.0,41.967959609,-87.657616551
12345469,03/07/2021 01:30:00 PM,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,APARTMENT,False,False,1524,15.0,37.0,41.891865479,-87.757936478
12313817,03/08/2021 07:29:00 PM,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,True,False,2423,24.0,49.0,42.012649536,-87.673787036
12345763,03/12/2021 05:30:00 PM,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,False,False,2033,20.0,48.0,41.97522663,-87.658613583
12319162,03/12/2021 11:30:00 PM,BATTERY,SIMPLE,RESIDENCE,False,False,1014,10.0,24.0,41.858307458,-87.720034875
12345756,03/13/2021 02:32:00 AM,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,1133,11.0,24.0,41.870894442,-87.711697602
12346622,03/13/2021 08:30:00 PM,BATTERY,SIMPLE,APARTMENT,False,False,1522,15.0,29.0,41.878972982,-87.761779262
12345628,03/15/2021 01:00:00 PM,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,914,9.0,11.0,41.842819167,-87.646398276
12346279,03/15/2021 08:00:00 PM,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,False,False,631,6.0,6.0,41.747101155,-87.618045005
12346472,03/15/2021 09:00:00 AM,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,2232,22.0,34.0,41.713689823,-87.647873852
12345609,03/16/2021 03:00:00 PM,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,2232,22.0,34.0,41.713689823,-87.647873852
12325913,03/16/2021 12:00:00 AM,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,APARTMENT,True,True,631,6.0,6.0,41.748979176,-87.60638538
12345380,03/16/2021 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,2515,25.0,31.0,41.925946758,-87.757509071
12816903,03/17/2021 10:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,OTHER (SPECIFY),False,True,622,6.0,21.0,,
12346376,03/17/2021 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,411,4.0,8.0,41.752530825,-87.591865668
12346366,03/18/2021 10:30:00 PM,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,False,False,2525,25.0,35.0,41.924479151,-87.727224858
12345821,03/18/2021 12:01:00 AM,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,False,False,1213,12.0,27.0,41.902961643,-87.665865852
12346374,03/20/2021 07:00:00 AM,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,False,False,1112,11.0,27.0,41.895430713,-87.719341921
12346368,03/20/2021 11:30:00 PM,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,114,1.0,42.0,41.887711996,-87.617139647
12345386,03/23/2021 02:30:00 PM,THEFT,OVER $500,RESIDENCE,False,False,915,9.0,11.0,41.82453699,-87.64230111
12345637,03/23/2021 10:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,132,1.0,3.0,41.86661375,-87.62413407
12322996,03/23/2021 11:00:00 AM,THEFT,OVER $500,APARTMENT,False,False,212,2.0,4.0,41.830109681,-87.610058377
12346180,03/24/2021 03:00:00 PM,CRIMINAL DAMAGE,TO VEHICLE,SCHOOL - PUBLIC GROUNDS,False,False,924,9.0,15.0,41.809933784,-87.668651835
12347543,03/24/2021 10:10:00 AM,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,False,False,523,5.0,34.0,,
12345588,03/24/2021 12:01:00 AM,THEFT,OVER $500,STREET,False,False,1215,12.0,27.0,41.889597924,-87.662222177
12324952,03/26/2021 08:30:00 AM,THEFT,$500 AND UNDER,STREET,False,False,1812,18.0,43.0,41.918308872,-87.639725117
12346303,03/27/2021 12:00:00 AM,THEFT,$500 AND UNDER,APARTMENT,False,False,331,3.0,5.0,41.767148983,-87.567493189
12345441,03/29/2021 10:00:00 PM,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,False,2022,20.0,48.0,41.987951293,-87.655323262
12345482,03/30/2021 02:50:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,833,8.0,18.0,41.753235568,-87.728552759
12346467,03/30/2021 07:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,725,7.0,16.0,41.77853471,-87.661753582
12346355,03/30/2021 09:00:00 AM,THEFT,OVER $500,OTHER (SPECIFY),False,False,1231,12.0,28.0,41.870004973,-87.656773028
12346305,03/30/2021 10:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,STREET,False,False,1833,18.0,2.0,41.897895128,-87.624096605
12346634,03/30/2021 10:00:00 AM,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,1915,19.0,46.0,41.954576302,-87.648846438
12345378,03/31/2021 02:00:00 PM,THEFT,$500 AND UNDER,STREET,False,False,823,8.0,17.0,41.778605288,-87.695816391
12345733,03/31/2021 03:01:00 PM,THEFT,$500 AND UNDER,RESIDENCE,False,False,934,9.0,20.0,41.794906402,-87.659752752
12345477,04/01/2021 08:00:00 AM,THEFT,$500 AND UNDER,STREET,False,False,1434,14.0,2.0,41.912321369,-87.676665243
12346571,04/01/2021 12:00:00 AM,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,1633,16.0,36.0,41.94584324,-87.769850072
12345789,04/01/2021 12:58:00 PM,THEFT,$500 AND UNDER,APARTMENT,False,False,1512,15.0,29.0,41.886142161,-87.7748517
12345653,04/02/2021 07:09:00 PM,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,False,False,2523,25.0,31.0,41.93399519,-87.733841983
12346558,04/02/2021 12:00:00 PM,DECEPTIVE PRACTICE,FORGERY,HOSPITAL BUILDING / GROUNDS,False,False,314,3.0,5.0,41.785282622,-87.586575085
12345422,04/02/2021 12:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,631,6.0,6.0,41.74661504,-87.613590743
12346290,04/03/2021 03:00:00 PM,THEFT,$500 AND UNDER,APARTMENT,False,False,733,7.0,6.0,41.766455964,-87.648089576
12346532,04/03/2021 04:00:00 PM,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,False,False,914,9.0,11.0,41.848200058,-87.635373966
12345398,04/03/2021 11:00:00 AM,THEFT,$500 AND UNDER,DEPARTMENT STORE,False,False,2533,25.0,37.0,41.909664252,-87.742728815
12345902,04/03/2021 12:00:00 PM,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,False,False,834,8.0,18.0,41.737712613,-87.714936544
12345704,04/03/2021 12:29:00 PM,THEFT,FROM BUILDING,APARTMENT,False,False,2411,24.0,50.0,42.012257548,-87.687862198
12345258,04/04/2021 08:00:00 AM,THEFT,OVER $500,APARTMENT,False,True,711,7.0,20.0,41.783528925,-87.636347116
12345862,04/04/2021 12:01:00 AM,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,False,False,1911,19.0,47.0,41.968659266,-87.685688051
12346566,04/05/2021 12:00:00 AM,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,633,6.0,9.0,41.724801703,-87.619058011
12345991,04/05/2021 12:31:00 AM,BATTERY,SIMPLE,HOSPITAL BUILDING / GROUNDS,False,True,522,5.0,34.0,41.691640675,-87.626381549
12346694,04/06/2021 03:00:00 AM,THEFT,FROM BUILDING,APARTMENT,False,False,2524,25.0,35.0,41.929063462,-87.720776109
12345856,04/06/2021 07:40:00 AM,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,False,False,1423,14.0,26.0,41.909093543,-87.697028878
12346632,04/06/2021 12:00:00 PM,THEFT,FROM BUILDING,APARTMENT,False,False,2011,20.0,40.0,41.990459957,-87.696123513
12346324,04/06/2021 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,2531,25.0,29.0,41.904726365,-87.775453858
